row_type,case_id,name,role,topology,rows_total,discovery_rows,control_rows,candidate_count,near_miss_count,best_case,best_name,best_topology,best_phase_lock_target,best_bridge_ratio,best_purity,best_target_growth,best_generated_cv,best_max_phase_jump,best_length_m,best_pressure_pa,best_pressure_class,best_feedthrough_risk,best_feasibility,best_purity_case,best_purity_value,phase_matching_predicts_success,mismatch_predicts_failure,controls_dead,max_control_leakage_score,qpm_best_purity,phase_matched_best_purity,qpm_outperforms_phase_matched,bench_scale_length,recommended_next_step,source_only_drive,direct_80khz_drive_present,direct_120khz_drive_present,target_frequency_injection_present,cell_count,interaction_length_m,phase_velocity_4_m_s,phase_velocity_8_ratio,phase_velocity_12_ratio,group_velocity_8_ratio,group_velocity_12_ratio,nonlinear_448,nonlinear_4812,propagation_strength,damping_loss,boundary_absorption,qpm_enabled,qpm_period_m,qpm_duty_cycle,grating_kind,source_amplitude,readout_feedthrough,notes,f4_hz,f8_hz,f12_hz,v4_m_s,v8_m_s,v12_m_s,k4_rad_m,k8_rad_m,k12_rad_m,delta_k_448_rad_m,delta_k_4812_rad_m,limiting_delta_k_rad_m,coherence_length_m,estimated_required_interaction_length_m,source_fft_peak_hz,generated_fft_peak_hz,target_fft_peak_hz,source_fft_power,generated_fft_power,target_fft_power,source_fft_band_power,generated_fft_band_power,target_fft_band_power,spectral_purity_120khz,phase_lock_target,phase_lock_generated,bridge_ratio_vs_direct_reference,target_coherent_power,target_coherent_growth,generated_envelope_cv,target_envelope_cv,max_phase_jump,near_slip_count,control_leakage_score,phase_mismatch_rad_per_m,accumulated_phase_mismatch,acoustic_peak_pressure_pa,pressure_stress_class,transducer_feedthrough_risk,bench_feasibility_score,drive_work_proxy,loss_work_proxy,energy_budget_proxy,promotion_category
aggregate,aggregate,aggregate,aggregate,aggregate,16,8,7,1,1,a005,phase_matched_short_48cell,phase_matched,0.9993517564087016,4628.598328042856,0.999610626442031,26.9445267041662,0.23157010549916665,0.007893374981378432,0.058,328.76744698434413,plausible,0.02424264032061959,0.9958210668960651,a005,0.999610626442031,True,True,True,0.0,0.8318761284997074,0.999610626442031,False,True,acoustic bench design focused on nonlinear drive/readout and feedthrough suppression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acoustic_waveguide_412,a001,phase_matched_64cell_baseline,discovery,phase_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,64,0.07639437268410976,800.0,1.0,1.0,0.985,0.97,0.105,0.145,0.58,0.035,0.03,False,110534964875444.38,0.5,none,0.24,0.015,Baseline acoustic phase-matched 40->80->120 kHz guide.,40000.0,80000.0,120000.0,800.0,800.0,800.0,314.1592653589793,628.3185307179587,942.4777960769379,0.0,-5.684341886080802e-14,5.684341886080802e-14,55267482437722.19,0.07639437268410976,40000.0,80000.0,120000.0,0.0005328811300402196,9.603742708146854e-05,0.11106929286270409,0.0007994882076373471,0.00014408607543356638,0.16663865559100574,0.9943694848398767,0.9990554845040679,0.9995188441137183,0.5261723644547974,2.474518427296555e-07,1.2786033862672974,0.6459967648889843,0.7809897694769825,0.010284670650637318,0.0,0.0,5.684341886080802e-14,4.342517325091521e-15,65.21499963118076,plausible,0.08970761107108874,0.8719443827124902,337.85990857924827,563.5811493641094,0.8419006468726228,not_promoted
acoustic_waveguide_412,a002,phase_matched_80cell_low_loss,discovery,phase_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,80,0.07639437268410976,800.0,1.0,1.0,0.985,0.97,0.105,0.155,0.58,0.026,0.024,False,110534964875444.38,0.5,none,0.24,0.015,Baseline acoustic phase-matched 40->80->120 kHz guide.,40000.0,80000.0,120000.0,800.0,800.0,800.0,314.1592653589793,628.3185307179587,942.4777960769379,0.0,-5.684341886080802e-14,5.684341886080802e-14,55267482437722.19,0.07639437268410976,40000.0,80000.0,120000.0,6.635024193864766e-07,3.189260804432898e-09,4.790838773964698e-07,9.954610190717697e-07,4.784886526637757e-09,7.187755592335017e-07,0.41813064811946093,0.9999426132555992,0.9999999004032746,2.3303518513195585e-06,1.095933383759131e-12,0.029793698328401806,0.9581311301402479,1.1450876524133353,0.00394153494202687,0.0,0.0,5.684341886080802e-14,4.342517325091521e-15,10.57132173953385,plausible,1.0,0.5949373382596274,442.6877219995973,632.7122025141061,0.6365486244450443,not_promoted
acoustic_waveguide_412,a003,phase_matched_96cell_high_nonlinearity,discovery,phase_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,96,0.07639437268410976,800.0,1.0,1.0,0.985,0.97,0.118,0.172,0.58,0.03,0.03,False,110534964875444.38,0.5,none,0.27,0.015,Baseline acoustic phase-matched 40->80->120 kHz guide.,40000.0,80000.0,120000.0,800.0,800.0,800.0,314.1592653589793,628.3185307179587,942.4777960769379,0.0,-5.684341886080802e-14,5.684341886080802e-14,55267482437722.19,0.07639437268410976,40000.0,80000.0,120000.0,1.1014782966492784e-10,3.8549802271402405e-15,2.428028789982719e-14,1.652561735091735e-10,5.783672317417321e-15,3.642802420924653e-14,0.00022037737491087714,0.0,0.0,0.0,0.0,0.0022503947817970452,1.0959333996858416,1.3320916977952921,0.0010660187132829346,0.0,0.0,5.684341886080802e-14,4.342517325091521e-15,0.34948796858644593,plausible,1.0,0.26005940553363677,622.1438947203665,958.3204414414317,0.7134384911584944,not_promoted
acoustic_waveguide_412,a004,phase_matched_longer_96cell,discovery,phase_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,96,0.105,800.0,1.0,1.0,0.985,0.97,0.11,0.165,0.58,0.028,0.03,False,110534964875444.38,0.5,none,0.24,0.015,Baseline acoustic phase-matched 40->80->120 kHz guide.,40000.0,80000.0,120000.0,800.0,800.0,800.0,314.1592653589793,628.3185307179587,942.4777960769379,0.0,-5.684341886080802e-14,5.684341886080802e-14,55267482437722.19,0.07639437268410976,40000.0,80000.0,120000.0,1.1347697191286858e-10,4.205685447633669e-15,2.947696426485556e-14,1.702509274749585e-10,6.309839569809831e-15,4.4224663441175087e-14,0.0002596845789037251,0.0,0.0,0.0,0.0,0.002108134765871401,1.1004768526276034,1.3371294278737849,0.00110953291644722,0.0,0.0,5.684341886080802e-14,5.968558980384841e-15,0.3695228109592896,plausible,1.0,0.2600701463238467,496.6935449423164,847.4797154778965,0.9158771631001741,not_promoted
acoustic_waveguide_412,a005,phase_matched_short_48cell,discovery,phase_matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,48,0.058,800.0,1.0,1.0,0.985,0.97,0.115,0.16,0.58,0.035,0.03,False,110534964875444.38,0.5,none,0.24,0.015,Baseline acoustic phase-matched 40->80->120 kHz guide.,40000.0,80000.0,120000.0,800.0,800.0,800.0,314.1592653589793,628.3185307179587,942.4777960769379,0.0,-5.684341886080802e-14,5.684341886080802e-14,55267482437722.19,0.07639437268410976,40000.0,80000.0,120000.0,0.19954921261675437,0.3070762670604338,1300.622012274567,0.299386066941959,0.4607098833871538,1951.3395460866825,0.999610626442031,0.9993517564087016,0.9994881096988064,4628.598328042856,0.0021767680382005364,26.9445267041662,0.23157010549916665,0.3229580621160939,0.007893374981378432,0.0,0.0,5.684341886080802e-14,3.296918293926865e-15,328.76744698434413,plausible,0.02424264032061959,0.9958210668960651,242.30286559252602,376.24193754612185,0.7335446728942475,acoustic_phase_bridge_candidate
acoustic_waveguide_412,a006,qpm_mild_mismatch_square,discovery,qpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,64,0.07639437268410976,800.0,0.985,0.973,0.985,0.97,0.125,0.18,0.58,0.035,0.03,True,0.3788536416641958,0.5,square,0.24,0.015,Baseline acoustic phase-matched 40->80->120 kHz guide.,40000.0,80000.0,120000.0,800.0,788.0,778.4,314.1592653589793,637.8868332162017,968.6308284449517,9.568302498243042,16.584729869770683,16.584729869770683,0.1894268208320979,0.07639437268410976,40000.0,80000.0,120000.0,0.0005707364375456646,5.919983325398744e-06,0.0028532932356392874,0.0008562830406061335,8.881821389286288e-06,0.004280831684165512,0.8318761284997074,0.9979751070959949,0.9999654186395783,0.013277076091968211,6.244031741240627e-09,0.8174696935655594,0.6736684689684341,0.7829098358530553,0.015791832224704594,0.0,0.0,16.584729869770683,1.2669800345365487,44.15205230577457,plausible,0.4440013954285415,0.7677162267756817,355.7662077248376,479.9010414939416,0.4889734555073473,not_promoted
acoustic_waveguide_412,a007,qpm_high_nonlinearity_80cell,discovery,qpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,80,0.07639437268410976,800.0,0.982,0.97,0.985,0.97,0.138,0.205,0.58,0.035,0.03,True,0.35635615413392996,0.42,square,0.27,0.015,Baseline acoustic phase-matched 40->80->120 kHz guide.,40000.0,80000.0,120000.0,800.0,785.6,776.0,314.1592653589793,639.8355709958845,971.6265938937505,11.517040277925844,17.63175753888669,17.63175753888669,0.17817807706696498,0.07639437268410976,40000.0,80000.0,120000.0,2.1879083817175106e-07,2.3236609892058828e-10,3.848652693954791e-09,3.28254644882724e-07,3.4862195258902293e-10,5.774181884134285e-09,0.017268454873829508,0.9994189627967349,0.9998931533098276,1.8496823040795757e-08,8.69880908859946e-15,0.06645524653304156,0.875083822956644,1.0416044665022524,0.011017879851217938,0.0,0.0,17.63175753888669,1.3469670565015714,5.732804774535734,plausible,1.0,0.484601343794548,554.0712241075324,703.6918454737713,0.3839121494783815,not_promoted
acoustic_waveguide_412,a008,mild_dispersion_phase_trim,discovery,phase_matched_trim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,64,0.07639437268410976,800.0,0.998,0.996,0.97,0.94,0.105,0.175,0.58,0.024,0.03,False,2.4875075075074617,0.5,none,0.24,0.015,Baseline acoustic phase-matched 40->80->120 kHz guide.,40000.0,80000.0,120000.0,800.0,798.4,796.8,314.1592653589793,629.577686090139,946.2628474668053,1.2591553721803166,2.525896017686989,2.525896017686989,1.2437537537537309,0.07639437268410976,40000.0,80000.0,120000.0,0.002061185690631443,0.0003555097821132837,0.4551719200810951,0.003092422581617345,0.0005333754703911521,0.6829001504754538,0.9947186292502518,0.9992136137457979,0.9994938274102902,2.2034350939522427,1.0362461261123777e-06,1.1389804102260683,0.6687077818633914,0.8149520804300504,0.00994870793541558,0.0,0.0,2.525896017686989,0.19296424173648855,149.1244369227358,plausible,0.08644046706263453,0.9889428551928243,344.01872632124594,511.9468103114239,0.731721125380802,near_miss
acoustic_waveguide_412,c001,linear_no_nonlinearity_control,control,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,64,0.07639437268410976,800.0,1.0,1.0,0.985,0.97,0.0,0.0,0.58,0.035,0.03,False,110534964875444.38,0.5,none,0.24,0.015,,40000.0,80000.0,120000.0,800.0,800.0,800.0,314.1592653589793,628.3185307179587,942.4777960769379,0.0,-5.684341886080802e-14,5.684341886080802e-14,55267482437722.19,0.07639437268410976,40000.0,77500.0,117500.0,0.0005905811595153012,4.998240697912294e-20,2.7578478127165968e-21,0.0008860563347033389,8.222073497320014e-19,5.124463796402798e-20,5.783451452928947e-17,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.012487275981023727,0.0,0.0,5.684341886080802e-14,4.342517325091521e-15,62.78747714530563,plausible,1.0,0.2597847286497875,385.5341723476465,229.41953245590304,0.3500760655262315,control_dead
acoustic_waveguide_412,c002,weak_nonlinearity_control,control,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,64,0.07639437268410976,800.0,1.0,1.0,0.985,0.97,0.01,0.012,0.58,0.035,0.03,False,110534964875444.38,0.5,none,0.24,0.015,,40000.0,80000.0,120000.0,800.0,800.0,800.0,314.1592653589793,628.3185307179587,942.4777960769379,0.0,-5.684341886080802e-14,5.684341886080802e-14,55267482437722.19,0.07639437268410976,40000.0,80000.0,120000.0,0.0005861322984332335,1.1940618820784068e-06,1.288129226772377e-05,0.0008793816514610683,1.7914653688171757e-06,1.9325964104539067e-05,0.021461392369395742,0.9995528201974149,0.9998392344595003,6.1026925264751056e-05,2.870014872129404e-11,0.4611320786144851,0.6897678954354117,0.8438666145839842,0.007494893414512704,0.0,0.0,5.684341886080802e-14,4.342517325091521e-15,59.38691745063154,plausible,1.0,0.48560721428764475,382.86659386307934,226.839143829491,0.35376682522269404,control_dead
acoustic_waveguide_412,c003,detuned_target_velocity_control,control,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,64,0.07639437268410976,800.0,1.0,0.84,0.985,0.97,0.105,0.145,0.58,0.035,0.03,False,0.035000000000000024,0.5,none,0.24,0.015,,40000.0,80000.0,120000.0,800.0,800.0,672.0,314.1592653589793,628.3185307179587,1121.997376282069,0.0,179.51958020513092,179.51958020513092,0.017500000000000012,0.07639437268410976,40000.0,80000.0,120000.0,0.0005443573538692412,0.0001071733136776258,4.692443060431871e-09,0.0008167061726083861,0.00016079346383765977,7.040148851809075e-09,7.202149121081278e-06,0.9161796598845218,0.9996581393539283,4.018897272705708e-08,1.8900337666016825e-14,0.8630573244864341,0.6623961183464782,1.0096051911381851,0.284698526671602,0.0,0.0,179.51958020513092,13.714285714285705,77.18890783477258,plausible,1.0,0.46129686290427496,350.50950516170036,419.7733960032792,0.3245275505651523,control_dead
acoustic_waveguide_412,c004,phase_mismatched_control,control,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,64,0.07639437268410976,800.0,0.9,1.18,0.985,0.97,0.105,0.145,0.58,0.035,0.03,False,0.029418282548476452,0.5,none,0.24,0.015,,40000.0,80000.0,120000.0,800.0,720.0,944.0,314.1592653589793,698.1317007977318,798.7099966753711,69.81317007977316,-213.58096948134,213.58096948134,0.014709141274238226,0.07639437268410976,40000.0,80000.0,120000.0,0.0005900158664560957,1.5440299941987223e-06,5.555193892571123e-06,0.0008852082183806614,2.3165273236299823e-06,8.334527392895602e-06,0.009303389095858294,0.9994166690953092,0.999803095761711,2.5973045076211464e-05,1.221477656293952e-11,0.708232873701404,0.6744222071918733,0.7868909783105053,0.008155771322372107,0.0,0.0,213.58096948134,16.31638418079096,61.762686550647174,plausible,1.0,0.4822214581852789,383.91075524311736,244.85932137378782,0.30069113493077104,control_dead
acoustic_waveguide_412,c005,shuffled_frequency_control,control,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,64,0.07639437268410976,800.0,1.15,0.87,0.985,0.97,0.105,0.145,0.58,0.035,0.03,False,0.015268981304845478,0.5,none,0.24,0.015,,40000.0,120000.0,80000.0,800.0,919.9999999999999,696.0,314.1592653589793,819.54590963212,722.2052077217916,191.22737891416136,-411.4999672693078,411.4999672693078,0.007634490652422739,0.07639437268410976,40000.0,80000.0,120000.0,0.0005906336930926206,4.6637114623658685e-08,1.0157051002883233e-11,0.0008861351516138412,6.997037639428834e-08,1.523854347197708e-11,1.7195277742773814e-08,0.9997955621424395,0.997885294039913,4.809035761423456e-11,2.2616253556951627e-17,0.7447434426031041,0.6718288188818975,0.7751523144102233,0.006942692389164229,0.0,0.0,411.4999672693078,31.436281859070466,62.64998530211001,plausible,1.0,0.4797402284562017,384.919786897472,232.52700706766936,0.34019962070936416,control_dead
acoustic_waveguide_412,c006,too_short_guide_control,control,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,64,0.013750987083139756,800.0,1.0,1.0,0.985,0.97,0.105,0.145,0.58,0.035,0.03,False,110534964875444.38,0.5,none,0.24,0.015,,40000.0,80000.0,120000.0,800.0,800.0,800.0,314.1592653589793,628.3185307179587,942.4777960769379,0.0,-5.684341886080802e-14,5.684341886080802e-14,55267482437722.19,0.07639437268410976,40000.0,80000.0,120000.0,0.0005887156347602336,4.307482442926304e-06,0.00022063519513705474,0.0008832574614768176,6.462568192565018e-06,0.00033102175305200777,0.27116443275044,0.9995644823709471,0.9998482743021542,0.0010454799191525308,4.91675257021922e-10,0.46068062836705165,0.690811784247266,0.8447091059424222,0.007415370404568744,0.0,0.0,5.684341886080802e-14,7.816531185164738e-16,60.62826252728057,plausible,1.0,0.5543919943896127,383.641483077247,252.3284478926056,0.27613916013861484,control_dead
acoustic_waveguide_412,c007,too_lossy_guide_control,control,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,64,0.07639437268410976,800.0,1.0,1.0,0.985,0.97,0.105,0.145,0.58,0.16,0.2,False,110534964875444.38,0.5,none,0.24,0.015,,40000.0,80000.0,120000.0,800.0,800.0,800.0,314.1592653589793,628.3185307179587,942.4777960769379,0.0,-5.684341886080802e-14,5.684341886080802e-14,55267482437722.19,0.07639437268410976,40000.0,80000.0,120000.0,4.116662676420534e-12,1.9003933563388738e-14,8.761796472404178e-13,6.1762807459941986e-12,2.851183158508522e-14,1.3145433233550565e-12,0.174821731686385,0.0,0.0,0.0,0.0,8.965605395008346,0.37007867913636006,0.4820778085200503,0.0054478519662999325,0.0,0.0,5.684341886080802e-14,4.342517325091521e-15,0.0007546070170772421,plausible,1.0,0.30807597362653183,220.13968963993693,235.2265242638571,0.07307306828398646,control_dead
acoustic_waveguide_412,direct_40plus80_reference,direct_40plus80_reference,ceiling_reference,control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,64,0.07639437268410976,800.0,1.0,1.0,0.985,0.97,0.105,0.145,0.58,0.035,0.03,False,110534964875444.38,0.5,none,0.24,0.02,,40000.0,80000.0,120000.0,800.0,800.0,800.0,314.1592653589793,628.3185307179587,942.4777960769379,0.0,-5.684341886080802e-14,5.684341886080802e-14,55267482437722.19,0.07639437268410976,40000.0,80000.0,120000.0,0.0008888817683090694,0.049929689920491134,0.21672218130771842,0.0013336002470222316,0.07491013851035802,0.32515100920623136,0.8100529736630634,0.9993330087585308,0.9977971499199755,1.0,4.7028665784463416e-07,1.776802419091411,0.5731730862689979,0.7231415649788159,0.008906476041062428,0.0,0.0,5.684341886080802e-14,4.342517325091521e-15,65.3150276218255,plausible,0.09505240053995263,0.9282230366245219,422.9574214501965,617.9409200784676,0.6014352523074359,ceiling_reference_not_discovery
