row_type,discovery_cases_run,successful_discovery_cases,failed_to_converge_cases,component_bridge_candidate_count,component_near_miss_count,bridge_ratio_gt_1p5_found,bridge_ratio_gt_1p5_cases,controls_remained_dead,max_control_leakage_score,closest_component_case,closest_component_variant,closest_component_bridge_ratio,closest_component_lock,closest_component_purity,closest_component_stress,successful_or_near_miss_realism,failed_convergence_cases,recommended_next_step,case_id,circuit,role,control_kind,nonlinear_variant,component_family,variant_description,netlist_path,execution_status,convergence_failure_reason,source_frequency_hz,generated_frequency_hz,target_frequency_hz,nominal_target_frequency_hz,direct_8_drive_present,direct_12_drive_present,target_frequency_injection_present,component_realism_score,promotion_category,spice_phase_lock_target,spice_phase_extraction_stable,spice_bridge_ratio,spice_spectral_purity_target,spice_generated_envelope_cv,spice_target_envelope_cv,spice_max_phase_jump,spice_near_slip_count,spice_target_rms_v,spice_generated_rms_v,spice_target_projection_power,spice_target_voltage_growth_ratio,spice_fft_peak_source_hz,spice_fft_peak_source_amp,spice_fft_peak_generated_hz,spice_fft_peak_generated_amp,spice_fft_peak_target_hz,spice_fft_peak_target_amp,target_band_growth,source_fft_peak,generated_fft_peak,target_fft_peak,phase_lock_target,spectral_purity_target,generated_envelope_CV,max_phase_jump,diode_saturation_current,diode_emission_coefficient,junction_capacitance_scale,varactor_C0_scale,varactor_voltage_coefficient,varactor_exponent,saturable_inductor_L0_scale,saturation_current_scale,core_nonlinearity_exponent,coupling_scale,drive_amplitude_scale,limiter_loss_scale,source_load_impedance_scale,solver_tolerance_profile,max_timestep_profile,bridge_ratio_vs_direct_4plus8_reference,python_lc_distance,required_drive_voltage,peak_diode_current,peak_varactor_voltage,peak_inductor_current,estimated_component_stress,component_stress_label,passivity_flag,linear_control_leakage_score
aggregate,40,38,2,0,0,True,c008;c013;c018;c023;c028;c033,False,0.600079139285388,c018,back_to_back_varactor_stack,1.5738780857154664,0.016446472307288146,0.9864243781864668,plausible,none_promoted,c015;c035,deeper component sweep and spatial phase-matching model before physical parameter refinement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
component_realism_reference,,,,,,,,,,,,,,,,,,,direct_4plus8_ceiling_reference,ref_direct_4plus8_c0p75_d1p5_l0p5_z20_vc0p5_conservative_m0p5,ceiling_reference,direct_4plus8_ceiling_reference,direct_4plus8_ceiling_reference,reference,Separated direct 4+8 drive reference used only as the bridge-ratio denominator.,runs\spice_412_component_realism\ref_direct_4plus8_c0p75_d1p5_l0p5_z20_vc0p5_conservative_m0p5.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,True,False,False,,ceiling_reference_not_discovery,0.9930761690457404,True,nan,0.30595747637099696,0.046774910798764266,0.10655072662869282,0.3227654563669695,0.0,0.0065995496470701185,0.5748342437371178,1.3325688920008628e-05,1.4175812315840153,0.1770900920260553,144.5674265213092,0.3618797532706347,293.71597965158014,0.3618797532706347,2.807181589808503,0.0,0.1770900920260553,0.3618797532706347,0.3618797532706347,0.9930761690457404,0.30595747637099696,0.046774910798764266,0.3227654563669695,,,,,,,,,,,,,,,,,,,,,,,,,
component_realism_reference,,,,,,,,,,,,,,,,,,,direct_4plus8_ceiling_reference,ref_direct_4plus8_c1_d1_l1_z100_vc1_default_m1,ceiling_reference,direct_4plus8_ceiling_reference,direct_4plus8_ceiling_reference,reference,Separated direct 4+8 drive reference used only as the bridge-ratio denominator.,runs\spice_412_component_realism\ref_direct_4plus8_c1_d1_l1_z100_vc1_default_m1.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,True,False,False,,ceiling_reference_not_discovery,0.9375905943431901,True,nan,0.04394406163720861,0.04596609653323969,0.2810938406209402,1.0087903673633178,1.0,0.009304564150085438,0.42722228278088265,3.8044533580652158e-06,1.129261902247229,0.1770900920260553,195.3111845775362,0.3618797532706347,217.7967764910584,0.3618797532706347,4.627661479183998,0.0,0.1770900920260553,0.3618797532706347,0.3618797532706347,0.9375905943431901,0.04394406163720861,0.04596609653323969,1.0087903673633178,,,,,,,,,,,,,,,,,,,,,,,,,
component_realism_reference,,,,,,,,,,,,,,,,,,,direct_4plus8_ceiling_reference,ref_direct_4plus8_c1p25_d1p5_l2_z100_vc1_default_m1,ceiling_reference,direct_4plus8_ceiling_reference,direct_4plus8_ceiling_reference,reference,Separated direct 4+8 drive reference used only as the bridge-ratio denominator.,runs\spice_412_component_realism\ref_direct_4plus8_c1p25_d1p5_l2_z100_vc1_default_m1.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,True,False,False,,ceiling_reference_not_discovery,0.9895170153044907,True,nan,0.2290838430247726,0.046171917183654425,0.1260104708677857,0.36988066529649277,0.0,0.01278548525399812,0.5437326975390124,3.744802270292808e-05,1.1775290288448488,0.1770900920260553,167.68860961895055,0.3618797532706347,277.6201096601208,0.3618797532706347,5.72633281276938,0.0,0.1770900920260553,0.3618797532706347,0.3618797532706347,0.9895170153044907,0.2290838430247726,0.046171917183654425,0.36988066529649277,,,,,,,,,,,,,,,,,,,,,,,,,
component_realism_reference,,,,,,,,,,,,,,,,,,,direct_4plus8_ceiling_reference,ref_direct_4plus8_c1p25_d1p5_l2_z100_vc4_default_m1,ceiling_reference,direct_4plus8_ceiling_reference,direct_4plus8_ceiling_reference,reference,Separated direct 4+8 drive reference used only as the bridge-ratio denominator.,runs\spice_412_component_realism\ref_direct_4plus8_c1p25_d1p5_l2_z100_vc4_default_m1.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,True,False,False,,ceiling_reference_not_discovery,0.37847504382929925,True,nan,0.0010517086804590953,0.05051556840605586,0.46994786796931376,3.0682966040286246,21.0,0.02218728922089261,0.21449499307729553,5.17730735165138e-07,1.0352661517898258,0.1770900920260553,185.84019670281083,0.3618797532706347,109.83692499535627,0.3618797532706347,11.453171234479854,0.0,0.1770900920260553,0.3618797532706347,0.3618797532706347,0.37847504382929925,0.0010517086804590953,0.05051556840605586,3.0682966040286246,,,,,,,,,,,,,,,,,,,,,,,,,
component_realism_reference,,,,,,,,,,,,,,,,,,,direct_4plus8_ceiling_reference,ref_direct_4plus8_c1p5_d2_l1_z100_vc0p02_default_m1,ceiling_reference,direct_4plus8_ceiling_reference,direct_4plus8_ceiling_reference,reference,Separated direct 4+8 drive reference used only as the bridge-ratio denominator.,runs\spice_412_component_realism\ref_direct_4plus8_c1p5_d2_l1_z100_vc0p02_default_m1.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,True,False,False,,ceiling_reference_not_discovery,0.9958207623440275,True,nan,0.8734360269070021,0.04567944415635633,0.049908065009786576,0.2219365849268673,0.0,0.032302699343198356,0.6964970765224636,0.0009113993865285169,1.6487242941136504,0.1770900920260553,109.66626372093612,0.3618797532706347,355.4901306008247,0.53896984529669,15.944243059020954,1.6487242941136504,0.1770900920260553,0.3618797532706347,0.53896984529669,0.9958207623440275,0.8734360269070021,0.04567944415635633,0.2219365849268673,,,,,,,,,,,,,,,,,,,,,,,,,
component_realism_reference,,,,,,,,,,,,,,,,,,,direct_4plus8_ceiling_reference,ref_direct_4plus8_c1p5_d2_l1_z500_vc2_relaxed_m2,ceiling_reference,direct_4plus8_ceiling_reference,direct_4plus8_ceiling_reference,reference,Separated direct 4+8 drive reference used only as the bridge-ratio denominator.,runs\spice_412_component_realism\ref_direct_4plus8_c1p5_d2_l1_z500_vc2_relaxed_m2.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,True,False,False,,ceiling_reference_not_discovery,0.9054227411856375,True,nan,0.03060862367602578,0.0473641946818196,0.3609680076071814,1.3835742081669808,3.0,0.0208463763390712,0.43474248287695333,1.3301632641007237e-05,0.904524752768587,0.1770900920260553,235.5092711275313,0.3618797532706347,222.48149911156193,0.3618797532706347,10.522858697411067,0.0,0.1770900920260553,0.3618797532706347,0.3618797532706347,0.9054227411856375,0.03060862367602578,0.0473641946818196,1.3835742081669808,,,,,,,,,,,,,,,,,,,,,,,,,
component_realism,,,,,,,,,,,,,,,,,,,c001,c001_apd_c1_d1_l1_z100_default_m1,discovery,,anti_parallel_diode_mixer,diode,Anti-parallel diode mixers between adjacent tanks.,runs\spice_412_component_realism\c001_apd_c1_d1_l1_z100_default_m1.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,False,False,False,0.76,reject_due_to_control_leakage,0.028333065249712495,True,1.915933014366547e-05,0.07566824952837918,0.4864998949879428,0.25715595707448347,2.7130465002741566,43.0,3.1036979450129724e-05,0.013494752493988404,7.28907779033482e-11,0.7761681580059961,0.1770900920260553,142.38329337750915,0.1770900920260553,6.563104826099628,0.1770900920260553,0.014488765503239263,0.0,0.1770900920260553,0.1770900920260553,0.1770900920260553,0.028333065249712495,0.07566824952837918,0.4864998949879428,2.7130465002741566,1e-12,1.7,1.0,1.0,1.0,0.5,1.0,1.0,3.0,1.0,1.0,1.0,100.0,default,1.0,1.915933014366547e-05,12.259025806557819,0.06189358898018153,1.287923718350762e-08,0.4158712845139358,0.4724083583427754,0.4724083583427754,plausible,True,0.600079139285388
component_realism,,,,,,,,,,,,,,,,,,,c002,c002_apd_c1p25_d1p5_l2_z100_default_m1,discovery,,anti_parallel_diode_mixer,diode,Anti-parallel diode mixers between adjacent tanks.,runs\spice_412_component_realism\c002_apd_c1p25_d1p5_l2_z100_default_m1.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,False,False,False,0.76,reject_due_to_control_leakage,0.018594896837897786,True,0.03027798917466447,0.9907981049125206,0.5156973676890072,0.03994815455730149,2.7137231660100696,42.0,0.0010697575906243237,0.023179855194405463,1.1338508260118455e-06,1.5839003067384931,0.1770900920260553,63.90466249211828,0.1770900920260553,11.307473149133191,0.53896984529669,0.5584158735448842,1.5839003067384931,0.1770900920260553,0.1770900920260553,0.53896984529669,0.018594896837897786,0.9907981049125206,0.5156973676890072,2.7137231660100696,1e-12,1.7,1.0,1.0,1.0,0.5,1.0,1.0,3.0,1.25,1.5,2.0,100.0,default,1.0,0.03027798917466447,9.220082847674012,0.09284038347027229,6.156239740802423e-11,0.18176374531571352,0.2115131835986865,0.2115131835986865,plausible,True,0.600079139285388
component_realism,,,,,,,,,,,,,,,,,,,c003,c003_apd_c1p25_d1p5_l2_z100_default_m1,discovery,,anti_parallel_diode_mixer,diode,Anti-parallel diode mixers between adjacent tanks.,runs\spice_412_component_realism\c003_apd_c1p25_d1p5_l2_z100_default_m1.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,False,False,False,0.76,reject_due_to_control_leakage,0.01607174631826026,True,1.4042045652545048,0.9844911885590285,0.5168295170728613,0.04396581716011195,2.7030484631110028,41.0,0.0008593325204015263,0.023330449690878188,7.269998618914577e-07,0.9153768446886396,0.1770900920260553,63.32186998210217,0.1770900920260553,11.38891486285441,0.53896984529669,0.45418608392817766,0.9153768446886396,0.1770900920260553,0.1770900920260553,0.53896984529669,0.01607174631826026,0.9844911885590285,0.5168295170728613,2.7030484631110028,1e-10,1.7,4.0,4.0,0.5,0.5,1.0,1.0,3.0,1.25,1.5,2.0,100.0,default,1.0,1.4042045652545048,7.825133954647033,0.09284038347027229,6.101956991939827e-09,0.1813807893316071,0.2095732463282636,0.2095732463282636,plausible,True,0.600079139285388
component_realism,,,,,,,,,,,,,,,,,,,c004,c004_apd_c1p5_d2_l1_z500_relaxed_m2,discovery,,anti_parallel_diode_mixer,diode,Anti-parallel diode mixers between adjacent tanks.,runs\spice_412_component_realism\c004_apd_c1p5_d2_l1_z500_relaxed_m2.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,False,False,False,0.76,reject_due_to_control_leakage,0.02243750975404392,True,1.3468095171938736e-05,0.18447850238837532,0.47747838922889646,0.15340484924626643,3.0847365322450173,43.0,3.116252792528457e-05,0.008768098345977103,1.7914765435125227e-10,0.5694574800890073,0.1770900920260553,131.00681687463174,0.1770900920260553,4.2366379324889945,0.1770900920260553,0.01354615212305198,0.0,0.1770900920260553,0.1770900920260553,0.1770900920260553,0.02243750975404392,0.18447850238837532,0.47747838922889646,3.0847365322450173,1e-12,1.2,2.0,2.0,1.0,0.5,0.75,0.5,5.0,1.5,2.0,1.0,500.0,relaxed,2.0,1.3468095171938736e-05,12.206915284283916,0.12378717796036307,1.844737279158033e-06,0.44755184406909415,0.6614864738474452,0.6614864738474452,aggressive,True,0.600079139285388
component_realism,,,,,,,,,,,,,,,,,,,c005,c005_apd_c0p75_d1p5_l0p5_z20_conservative_m0p5,discovery,,anti_parallel_diode_mixer,diode,Anti-parallel diode mixers between adjacent tanks.,runs\spice_412_component_realism\c005_apd_c0p75_d1p5_l0p5_z20_conservative_m0p5.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,False,False,False,0.76,reject_due_to_control_leakage,0.01635581468478179,True,9.537678460778024e-05,0.7553399238817846,0.46148709701101814,0.06325164410795536,2.799930195387333,44.0,4.101993366680645e-05,0.010678065994370616,1.2709613618739466e-09,3.340203570495565,0.1770900920260553,445.09328658325745,0.1770900920260553,5.1780344786239665,0.53896984529669,0.018945798219405972,3.340203570495565,0.1770900920260553,0.1770900920260553,0.53896984529669,0.01635581468478179,0.7553399238817846,0.46148709701101814,2.799930195387333,1e-14,2.2,0.5,0.5,2.0,0.5,1.0,1.0,3.0,0.75,1.5,0.5,20.0,conservative,0.5,9.537678460778024e-05,9.637007243673713,0.09284038347027229,9.56619021765768e-05,1.3069579542992327,1.481319411565134,1.481319411565134,aggressive,True,0.600079139285388
component_realism,,,,,,,,,,,,,,,,,,,c006,c006_bridge_c1_d1_l1_z100_default_m1,discovery,,diode_bridge_mixer,diode,Floating diode-bridge mixers with high-value leakage references.,runs\spice_412_component_realism\c006_bridge_c1_d1_l1_z100_default_m1.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,False,False,False,0.72,reject_due_to_control_leakage,0.03247202495478421,True,0.0003172495229133023,0.47528537521221076,0.4902173994030176,0.08494849785550386,2.7971196549178927,43.0,5.0392905049807215e-05,0.013500878270177083,1.2069610127921007e-09,1.6381609625696378,0.1770900920260553,142.89784026430831,0.1770900920260553,6.565738793271054,0.53896984529669,0.018105948958547606,1.6381609625696378,0.1770900920260553,0.1770900920260553,0.53896984529669,0.03247202495478421,0.47528537521221076,0.4902173994030176,2.7971196549178927,1e-12,1.7,1.0,1.0,1.0,0.5,1.0,1.0,3.0,1.0,1.0,1.0,100.0,default,1.0,0.0003172495229133023,10.731072578578248,0.06189358898018153,1.3269898889307231e-08,0.41718433690597195,0.4737027779515826,0.4737027779515826,plausible,True,0.600079139285388
component_realism,,,,,,,,,,,,,,,,,,,c007,c007_bridge_c1p25_d1p5_l2_z100_default_m1,discovery,,diode_bridge_mixer,diode,Floating diode-bridge mixers with high-value leakage references.,runs\spice_412_component_realism\c007_bridge_c1p25_d1p5_l2_z100_default_m1.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,False,False,False,0.72,reject_due_to_control_leakage,0.018909755154904062,True,0.03737918256640442,0.9915763739521234,0.5155714325654895,0.038835641919734896,2.7205402418015154,43.0,0.0011881362882031133,0.023156945068184404,1.399776477363606e-06,1.7139298675490946,0.1770900920260553,63.99344270268019,0.1770900920260553,11.294712611409526,0.53896984529669,0.6198743365545897,1.7139298675490946,0.1770900920260553,0.1770900920260553,0.53896984529669,0.018909755154904062,0.9915763739521234,0.5155714325654895,2.7205402418015154,1e-12,1.7,1.0,1.0,1.0,0.5,1.0,1.0,3.0,1.25,1.5,2.0,100.0,default,1.0,0.03737918256640442,9.221085644400063,0.09284038347027229,6.160205005548342e-11,0.18179158925520594,0.21181895324002142,0.21181895324002142,plausible,True,0.600079139285388
component_realism,,,,,,,,,,,,,,,,,,,c008,c008_bridge_c1p25_d1p5_l2_z100_default_m1,discovery,,diode_bridge_mixer,diode,Floating diode-bridge mixers with high-value leakage references.,runs\spice_412_component_realism\c008_bridge_c1p25_d1p5_l2_z100_default_m1.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,False,False,False,0.72,reject_due_to_control_leakage,0.01751786020609064,True,1.647441888979745,0.9891548487196253,0.5166380369703116,0.04155386805474646,2.7009001067405904,42.0,0.000928591884897091,0.02322955570506562,8.52931300323327e-07,1.2842347606010147,0.1770900920260553,63.731933739641875,0.1770900920260553,11.334266949982169,0.53896984529669,0.4874467287054866,1.2842347606010147,0.1770900920260553,0.1770900920260553,0.53896984529669,0.01751786020609064,0.9891548487196253,0.5166380369703116,2.7009001067405904,1e-10,1.7,4.0,4.0,0.5,0.5,1.0,1.0,3.0,1.25,1.5,2.0,100.0,default,1.0,1.647441888979745,7.671731163509007,0.09284038347027229,6.155268637538115e-09,0.18175692357500162,0.21090006442976983,0.21090006442976983,plausible,True,0.600079139285388
component_realism,,,,,,,,,,,,,,,,,,,c009,c009_bridge_c1p5_d2_l1_z500_relaxed_m2,discovery,,diode_bridge_mixer,diode,Floating diode-bridge mixers with high-value leakage references.,runs\spice_412_component_realism\c009_bridge_c1p5_d2_l1_z500_relaxed_m2.cir,ran_successfully,,0.18,0.36159299999999994,0.5358525808263697,0.54,False,False,False,0.72,reject_due_to_control_leakage,0.0318147575121435,True,3.691041182497252e-07,0.004336328963702908,0.48722127514112323,0.3882052545932793,2.3431291972338,40.0,3.364850778746754e-05,0.008680746214757338,4.90968738724074e-12,0.9874755896006797,0.1770900920260553,129.65415900402994,0.1770900920260553,4.197242903085237,0.1770900920260553,0.016230572585440337,0.0,0.1770900920260553,0.1770900920260553,0.1770900920260553,0.0318147575121435,0.004336328963702908,0.48722127514112323,2.3431291972338,1e-12,1.2,2.0,2.0,1.0,0.5,0.75,0.5,5.0,1.5,2.0,1.0,500.0,relaxed,2.0,3.691041182497252e-07,12.158489274996398,0.12378717796036307,1.604251636034979e-06,0.44321898869300314,0.6520469935544282,0.6520469935544282,aggressive,True,0.600079139285388
