row_type,case_id,name,valid_spice_netlists_generated,run_requested,ngspice_available,execution_statuses,rows_total,discovery_rows,control_rows,ran_successfully_count,candidate_count,near_miss_count,best_case,best_name,best_placement,best_lock,best_bridge_ratio,best_purity,best_target_growth,best_generated_cv,best_max_phase_jump,best_stress_class,best_stress_score,best_behavioral_dependency,best_purity_plausible_case,best_purity_plausible_value,best_bridge_clean_case,best_bridge_clean_value,best_lock_case,best_lock_value,purity_above_0p30_count,purity_above_0p80_count,controls_dead,max_control_leakage_score,target_extraction_best_purity,no_target_extraction_best_purity,target_extraction_helped_purity,hybrid_beats_pure_varactor_and_pure_magnetic,pure_varactor_control_purity,pure_varactor_control_bridge,pure_magnetic_control_purity,pure_magnetic_control_bridge,placement_summary_json,factor_scores_json,most_important_factor_first_pass,recommended_next_step,family,role,netlist_file,csv_file,execution_status,convergence_failure_reason,ngspice_path,source_only_drive,direct_100mhz_drive_present,direct_150mhz_drive_present,target_frequency_injection_present,hidden_behavioral_target_source_present,cell_count,z0_target_ohm,total_length_m,cell_length_m,per_cell_inductance_h,per_cell_total_capacitance_f,source_frequency_hz,generated_frequency_hz,target_frequency_hz,source_amplitude_v,bias_v,nonlinear_fraction,varactor_cjo_f,varactor_rs_ohm,varactor_vj_v,varactor_m,stacked_varactor_pairs,hybrid_section_placement,magnetic_saturation_curve,cleanup_topology,target_extraction_position,post_filter_strength,output_load_ohm,target_extraction_q,source_rejection,generated_rejection,fixed_cap_only,behavioral_helper_present,notes,source_fft_peak_hz,generated_fft_peak_hz,target_fft_peak_hz,source_fft_power,generated_fft_power,target_fft_power,target_band_coherent_growth,target_coherent_power,phase_lock_target,phase_lock_generated,bridge_ratio_vs_direct_reference,spectral_purity_150mhz,generated_envelope_cv,target_envelope_cv,max_phase_jump,near_slip_count,control_leakage_score,estimated_line_impedance_ohm,phase_velocity_m_s,per_cell_fixed_capacitance_f,ladder_cutoff_hz,varactor_peak_voltage_v,varactor_peak_current_a,source_peak_current_a,reverse_bias_margin_v,dissipation_estimate_j,component_stress_score,component_stress_class,behavioral_dependency_score,bench_feasibility_score,promotion_category,magnetic_section_count,magnetic_section_spacing,magnetic_strength,magnetic_saturation_current_a,magnetic_peak_current_a,saturation_margin,hysteresis_loss_proxy,magnetic_core_loss_proxy,magnetic_dc_bias_proxy,varactor_capacitance_swing_ratio,varactor_reverse_bias_v,varactor_section_count,varactor_section_spacing,phase_velocity_error_50,phase_velocity_error_100,phase_velocity_error_150,accumulated_phase_mismatch,group_delay_match_score,target_extraction_gain,target_rejection_source_generated_db,source_rejection_trap_strength,generated_rejection_trap_strength,stress_reduction_strategy
aggregate,aggregate,aggregate,True,True,True,failed_to_converge;ran_successfully,37,25,11,28,0,3,h024,h024_varactor_first_then_magnetic_96c_75ohm,varactor_first_then_magnetic,0.9510549951059436,57.25829936687321,0.450170749095096,0.9230774440006456,0.17492056575889342,0.10386429029408228,aggressive-but-testable,0.86070976281814,0.19999999999999998,h024,0.450170749095096,h013,64.62140860087601,h013,0.9875296483993227,3,0,True,0.0,0.450170749095096,0.0,True,True,0.10047737682209,43.671732883504255,2.953955760879408e-07,0.0072678101381474505,"{""alternating_varactor_magnetic_cells"": {""best_bridge"": 64.62140860087601, ""best_case"": ""h013"", ""best_purity"": 0.27435943162285376}, ""grouped_magnetic_then_varactor"": {""best_bridge"": 2.0540764979779564, ""best_case"": ""h005"", ""best_purity"": 0.04159307495952111}, ""magnetic_first_then_varactor"": {""best_bridge"": 4.339479172442081, ""best_case"": ""h002"", ""best_purity"": 0.01883952078333083}, ""middle_third_only"": {""best_bridge"": 11.425304725865235, ""best_case"": ""h007"", ""best_purity"": 0.023505416034287113}, ""qpm_sign_flipped_hybrid_sections"": {""best_bridge"": 39.77533170276615, ""best_case"": ""h006"", ""best_purity"": 0.08694473843707362}, ""varactor_first_then_magnetic"": {""best_bridge"": 62.72699779332836, ""best_case"": ""h024"", ""best_purity"": 0.450170749095096}}","{""hybrid_section_placement"": 0.450170749095096, ""magnetic_saturation_curve"": 0.2789905713273648, ""phase_velocity_trim"": 0.0, ""target_extraction"": 0.450170749095096, ""varactor_swing"": 0.3768664111374838}",hybrid_section_placement,hybrid magnetic component refinement plus acoustic demo branch before PCB layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spice_hybrid_magnetic_412_refine,h001,h001_varactor_first_then_magnetic_96c_75ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h001_varactor_first_then_magnetic_96c_75ohm.cir,h001_varactor_first_then_magnetic_96c_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,96,75.0,0.5,0.005208333333333333,7.8125e-08,1.3888888888888888e-11,50000000.0,100000000.0,150000000.0,2.5,3.4,0.82,3.2909063416754584e-11,0.34,0.65,0.58,1,varactor_first_then_magnetic,soft,extraction_plus_rejection,end,0.0,150.0,18.0,True,True,False,True,Placement sweep: varactor section before magnetic section.,50886824.86163868,99350467.58700885,150237292.44864753,77086.05622343358,154774.6782158901,99976.84602457777,0.9120811520544856,0.194725450237272,0.9801820599944845,0.9997016419844185,44.29278973423318,0.2789905713273648,0.04816149533396727,0.11494902370192048,0.38493597412164415,0.0,0.0,75.0,5000000.0,2.500000000000001e-12,305577490.73643905,2.0829861667778644,0.0002552824417648089,0.5812390049860686,1.3170138332221355,1.915468736456209e-08,0.7207564590926867,plausible,0.19999999999999998,0.6036225063588617,reject_due_to_low_purity,18,4,0.55,0.1,0.03229105583255937,3.096832773710951,0.25,0.25,0.0,1.35,3.4,96,1,0.0,0.0,0.0,0.0,1.0,0.4311935191024809,-3.6532777527767735,1.0,1.0,baseline
spice_hybrid_magnetic_412_refine,h002,h002_magnetic_first_then_varactor_96c_75ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h002_magnetic_first_then_varactor_96c_75ohm.cir,h002_magnetic_first_then_varactor_96c_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,96,75.0,0.5,0.005208333333333333,7.8125e-08,1.3888888888888888e-11,50000000.0,100000000.0,150000000.0,2.5,3.4,0.82,3.2909063416754584e-11,0.34,0.65,0.58,1,magnetic_first_then_varactor,soft,extraction_plus_rejection,end,0.0,150.0,18.0,True,True,False,True,Placement sweep: magnetic section before varactor section.,50876498.66138649,99330306.910326,150206805.5717125,488192.41989220196,6569.755303258342,9876.106957004626,3.0651668003526518,0.019077756012192578,0.27688798238584256,0.989851894958894,4.339479172442081,0.01883952078333083,0.21859100834989412,0.4274075082563835,2.97046172961052,3.0,0.0,75.0,5000000.0,2.500000000000001e-12,305577490.73643905,1.645473828385532,0.00022501628578339093,0.7815093548609259,1.754526171614468,1.91615207648774e-08,0.5693681067077966,plausible,0.19999999999999998,0.6935768472231267,reject_due_to_low_purity,18,4,0.65,0.1,0.04341718638116255,2.3032353852249416,0.25,0.25,0.0,1.35,3.4,96,1,0.0,0.0,0.0,0.0,1.0,0.019961321726146463,-16.998107055653087,1.0,1.0,baseline
spice_hybrid_magnetic_412_refine,h003,h003_alternating_varactor_magnetic_cells_96c_75ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h003_alternating_varactor_magnetic_cells_96c_75ohm.cir,h003_alternating_varactor_magnetic_cells_96c_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,96,75.0,0.5,0.005208333333333333,7.8125e-08,1.3888888888888888e-11,50000000.0,100000000.0,150000000.0,2.5,3.4,0.82,3.2909063416754584e-11,0.34,0.65,0.58,1,alternating_varactor_magnetic_cells,soft,extraction_plus_rejection,end,0.0,150.0,18.0,True,True,False,True,Placement sweep: alternating cells.,50895435.03706454,99367277.92950696,150262712.9665715,482116.5872069947,351160.04063077667,91066.14626548374,0.9858134148920328,0.18022885641432385,0.9683231390219041,0.9932652809814065,40.99535438985453,0.08693071590284733,0.09463299397728206,0.13863300169305004,0.6828271504038619,0.0,0.0,75.0,5000000.0,2.500000000000001e-12,305577490.73643905,2.5446280111920534,0.00022482487332137695,0.8252510966569214,0.8553719888079465,3.6822685427291376e-08,0.8804941215197417,aggressive-but-testable,0.19999999999999998,0.5608883993386649,reject_due_to_low_purity,28,3,0.55,0.1,0.02947325345203291,3.3929067302579226,0.25,0.25,0.0,1.35,3.4,96,1,0.0,0.0,0.0,0.0,1.0,0.10928681211398766,-9.61432242182776,1.0,1.0,baseline
spice_hybrid_magnetic_412_refine,h004,h004_grouped_varactor_then_magnetic_128c_100ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h004_grouped_varactor_then_magnetic_128c_100ohm.cir,,failed_to_converge,returncode=1; log=h004_grouped_varactor_then_magnetic_128c_100ohm.log,wsl:ngspice,True,False,False,False,False,128,100.0,0.62,0.00484375,9.6875e-08,9.6875e-12,50000000.0,100000000.0,150000000.0,2.25,3.4,0.82,3.098799683980154e-11,0.34,0.65,0.58,1,grouped_varactor_then_magnetic,soft,extraction_plus_rejection,end,0.0,200.0,18.0,True,True,False,True,Grouped varactor cells followed by magnetic cells.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reject_due_to_convergence,,,,,,,,,,,,,,,,,,,,,,,
spice_hybrid_magnetic_412_refine,h005,h005_grouped_magnetic_then_varactor_128c_100ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h005_grouped_magnetic_then_varactor_128c_100ohm.cir,h005_grouped_magnetic_then_varactor_128c_100ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,128,100.0,0.62,0.00484375,9.6875e-08,9.6875e-12,50000000.0,100000000.0,150000000.0,2.25,3.4,0.82,2.2954071733186325e-11,0.34,0.65,0.58,1,grouped_magnetic_then_varactor,soft,extraction_plus_rejection,end,0.0,200.0,18.0,True,True,False,True,Grouped magnetic cells followed by varactor cells.,50894222.599830434,99364910.79014513,150259133.38997555,147703.8614644433,41025.74366545357,6695.305826257599,1.7830834626180976,0.009030385606563357,0.30616511674586216,0.9966136814404803,2.0540764979779564,0.04159307495952111,0.16718042754137585,0.28150356685772465,2.8505538248409827,5.0,0.0,100.0,5000000.0,1.7437500000000001e-12,328577947.0284291,1.9532747366326721,9.497513611208362e-05,0.7958897256813381,1.4467252633673278,3.5121543217672074e-08,0.6758736112915822,plausible,0.19999999999999998,0.6610974926668604,reject_due_to_low_purity,24,4,0.75,0.1,0.03316207190338909,3.015493129962734,0.25,0.25,0.0,1.35,3.4,128,1,0.0,0.0,0.0,0.0,1.0,0.03547565217258534,-14.500696118718528,1.0,1.0,baseline
spice_hybrid_magnetic_412_refine,h006,h006_qpm_sign_flipped_hybrid_sections_96c_75ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h006_qpm_sign_flipped_hybrid_sections_96c_75ohm.cir,h006_qpm_sign_flipped_hybrid_sections_96c_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,96,75.0,0.5,0.005208333333333333,7.8125e-08,1.3888888888888888e-11,50000000.0,100000000.0,150000000.0,2.5,3.4,0.82,3.2909063416754584e-11,0.34,0.65,0.58,1,qpm_sign_flipped_hybrid_sections,soft,extraction_plus_rejection,end,0.6,150.0,18.0,True,True,False,True,QPM-like sign-flipped hybrid sections.,50895120.247480236,99366663.34031856,150261783.5877988,458679.8538189618,330996.3889098742,85826.41505139114,0.964343995191746,0.17486524151292698,0.9697125250292518,0.9934753996849184,39.77533170276615,0.08694473843707362,0.09243573501102627,0.13990320134976197,0.7104925084557523,0.0,0.0,75.0,5000000.0,2.500000000000001e-12,305577490.73643905,2.52395756473838,0.0002222464948997614,0.4094487565488882,0.8760424352616201,2.17656979845619e-09,0.8733417179025537,aggressive-but-testable,0.21,0.5596972145643951,reject_due_to_low_purity,32,4,0.7,0.1,0.012795273642152756,7.815385805471167,0.25,0.25,0.0,1.35,3.4,96,1,0.0,0.0,0.0,0.0,1.0,0.10868557315945841,-9.638281000080825,1.0,1.0,baseline
spice_hybrid_magnetic_412_refine,h007,h007_middle_third_only_96c_75ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h007_middle_third_only_96c_75ohm.cir,h007_middle_third_only_96c_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,96,75.0,0.5,0.005208333333333333,7.8125e-08,1.3888888888888888e-11,50000000.0,100000000.0,150000000.0,2.7,3.4,0.82,3.2909063416754584e-11,0.34,0.65,0.58,1,middle_third_only,soft,extraction_plus_rejection,end,0.0,150.0,18.0,True,True,False,True,Nonlinear sections only in the middle third.,50895493.395488985,99367391.86738326,150262885.26287225,996338.7597195773,71613.76694069592,29280.51344712131,1.6103020463731528,0.050229340264892584,0.9321703942239132,0.9774189495391725,11.425304725865235,0.023505416034287113,0.06707763106482693,0.24166397866709002,0.7902512311082588,0.0,0.0,75.0,5000000.0,2.500000000000001e-12,305577490.73643905,2.180823263103756,0.0001961295715867854,0.562071200210163,1.219176736896244,5.0802651347512326e-08,0.7546101256414381,aggressive-but-testable,0.19999999999999998,0.6306080002902665,reject_due_to_low_purity,18,4,0.95,0.1,0.0312261777894535,3.202441255355132,0.25,0.25,0.0,1.35,3.4,96,1,0.0,0.0,0.0,0.0,1.0,0.027417429816555646,-15.619732595685445,1.0,1.0,baseline
spice_hybrid_magnetic_412_refine,h008,h008_near_target_extraction_only_96c_75ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h008_near_target_extraction_only_96c_75ohm.cir,,failed_to_converge,returncode=1; log=h008_near_target_extraction_only_96c_75ohm.log,wsl:ngspice,True,False,False,False,False,96,75.0,0.5,0.005208333333333333,7.8125e-08,1.3888888888888888e-11,50000000.0,100000000.0,150000000.0,2.5,3.4,0.82,4.442723561261869e-11,0.34,0.65,0.58,1,near_target_extraction_only,soft,extraction_plus_rejection,before_final_absorber,1.0,150.0,18.0,True,True,False,True,Nonlinear sections concentrated near target extraction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reject_due_to_convergence,,,,,,,,,,,,,,,,,,,,,,,
spice_hybrid_magnetic_412_refine,h009,h009_alternating_varactor_magnetic_cells_64c_50ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h009_alternating_varactor_magnetic_cells_64c_50ohm.cir,,failed_to_converge,returncode=1; log=h009_alternating_varactor_magnetic_cells_64c_50ohm.log,wsl:ngspice,True,False,False,False,False,64,50.0,0.5,0.0078125,7.8125e-08,3.125e-11,50000000.0,100000000.0,150000000.0,2.7,3.4,0.82,1.1106808903154673e-10,0.34,0.65,0.58,1,alternating_varactor_magnetic_cells,soft,extraction_plus_rejection,end,0.0,100.0,18.0,True,True,False,True,Magnetic saturation sweep: lower saturation current.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reject_due_to_convergence,,,,,,,,,,,,,,,,,,,,,,,
spice_hybrid_magnetic_412_refine,h010,h010_alternating_varactor_magnetic_cells_80c_75ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h010_alternating_varactor_magnetic_cells_80c_75ohm.cir,h010_alternating_varactor_magnetic_cells_80c_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,80,75.0,0.5,0.00625,9.375e-08,1.6666666666666667e-11,50000000.0,100000000.0,150000000.0,2.5,3.4,0.82,3.9490876100105507e-11,0.34,0.65,0.58,1,alternating_varactor_magnetic_cells,hard,extraction_plus_rejection,end,0.0,150.0,18.0,True,True,False,True,Magnetic saturation sweep: harder saturation curve.,50893397.60116615,99363300.07846725,150256697.6796334,365257.519806394,208511.99177239757,10007.130452751295,0.43455354425790343,0.03532058628793448,0.9705844244780211,0.9956005188877095,8.034118292370362,0.013986122005885976,0.06324931351363716,0.4517226984764949,1.2266490233553289,2.0,0.0,75.0,5000000.0,3.000000000000001e-12,254647908.94703254,2.4100618877341193,0.0002546326837016877,0.6567745815101655,0.9899381122658806,4.036246168299221e-08,0.8339314490429479,aggressive-but-testable,0.19999999999999998,0.5010290795209469,reject_due_to_low_purity,18,4,1.1,0.14,0.036487476750564754,3.836932900487099,0.35,0.35,0.0,1.35,3.4,80,1,0.0,0.0,0.0,0.0,1.0,0.017441028585181435,-17.584279061181377,1.0,1.0,baseline
spice_hybrid_magnetic_412_refine,h011,h011_alternating_varactor_magnetic_cells_96c_75ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h011_alternating_varactor_magnetic_cells_96c_75ohm.cir,h011_alternating_varactor_magnetic_cells_96c_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,96,75.0,0.5,0.005208333333333333,7.8125e-08,1.3888888888888888e-11,50000000.0,100000000.0,150000000.0,2.5,3.4,0.82,3.2909063416754584e-11,0.34,0.65,0.58,1,alternating_varactor_magnetic_cells,soft,extraction_plus_rejection,end,0.0,150.0,18.0,True,True,False,True,Magnetic loss/hysteresis proxy sweep.,50881602.19909031,99340270.9601287,150221873.159219,475716.8279029326,339992.699888804,89221.49252450508,0.9634128639403915,0.17786744269977217,0.9689836186840926,0.9934078187381178,40.45822069209328,0.08638891139365738,0.09414989388583539,0.1524733981116994,0.6541197290076808,0.0,0.0,75.0,5000000.0,2.500000000000001e-12,305577490.73643905,2.5362343285062647,0.00022417220743848457,0.8193000226079074,0.8637656714937352,3.670813190235695e-08,0.8775897330471505,aggressive-but-testable,0.19999999999999998,0.5589543253634677,reject_due_to_low_purity,18,4,0.85,0.12,0.04551666792266152,2.6363968514543927,0.55,0.55,0.0,1.35,3.4,96,1,0.0,0.0,0.0,0.0,1.0,0.10937900010318957,-9.610660510807081,1.0,1.0,baseline
spice_hybrid_magnetic_412_refine,h012,h012_alternating_varactor_magnetic_cells_96c_75ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h012_alternating_varactor_magnetic_cells_96c_75ohm.cir,h012_alternating_varactor_magnetic_cells_96c_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,96,75.0,0.5,0.005208333333333333,7.8125e-08,1.3888888888888888e-11,50000000.0,100000000.0,150000000.0,2.5,3.4,0.82,3.2909063416754584e-11,0.34,0.65,0.58,1,alternating_varactor_magnetic_cells,soft,extraction_plus_rejection,end,0.0,150.0,18.0,True,True,False,True,Magnetic DC bias proxy sweep.,50881749.82911247,99340559.19017197,150222309.01928446,484078.31651026173,348142.51432207535,91965.47621366303,0.9934115918763705,0.18091817956921627,0.9682601595893302,0.9932138138241124,41.15214974208705,0.08728769625441118,0.09458015903757278,0.12695163401772203,0.6898997360073575,0.0,0.0,75.0,5000000.0,2.500000000000001e-12,305577490.73643905,2.550116942318138,0.00022480340281170002,0.8269660735716857,0.8498830576818621,3.683850179706084e-08,0.8823934056464146,aggressive-but-testable,0.19999999999999998,0.5614485262062768,reject_due_to_low_purity,18,4,0.7,0.12,0.04594255964287143,2.6119572120666446,0.25,0.25,0.15,1.35,3.4,96,1,0.0,0.0,0.0,0.0,1.0,0.11050609742811257,-9.566137581207274,1.0,1.0,magnetic_bias_shift
spice_hybrid_magnetic_412_refine,h013,h013_alternating_varactor_magnetic_cells_96c_75ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h013_alternating_varactor_magnetic_cells_96c_75ohm.cir,h013_alternating_varactor_magnetic_cells_96c_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,96,75.0,0.5,0.005208333333333333,7.8125e-08,1.3888888888888888e-11,50000000.0,100000000.0,150000000.0,2.5,2.7,0.82,3.1477690085162466e-11,0.28,0.65,0.62,1,alternating_varactor_magnetic_cells,soft,extraction_plus_rejection,end,0.0,150.0,18.0,True,True,False,True,Varactor sweep: larger capacitance swing.,50884894.573102996,99346698.92843919,150231593.50154218,261198.22092154005,49114.25943310228,129300.44062494831,1.1996530937437697,0.28409664327480305,0.9875296483993227,0.9101934948809909,64.62140860087601,0.27435943162285376,0.21905063584184073,0.09601584826302387,0.313136402090722,0.0,0.0,75.0,5000000.0,2.500000000000001e-12,305577490.73643905,2.031469722737048,0.00024222090215869174,0.7315780380499542,0.6685302772629522,3.382497314036816e-08,0.8851719924780166,aggressive-but-testable,0.19999999999999998,0.6097629584540695,reject_due_to_low_purity,18,4,0.55,0.1,0.04064322433610857,2.4604347128817046,0.25,0.25,0.0,1.7,2.7,96,1,0.0,0.0,0.0,0.0,1.0,0.4166781834787199,-3.8019923782648384,1.0,1.0,baseline
spice_hybrid_magnetic_412_refine,h014,h014_alternating_varactor_magnetic_cells_96c_75ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h014_alternating_varactor_magnetic_cells_96c_75ohm.cir,,failed_to_converge,returncode=1; log=h014_alternating_varactor_magnetic_cells_96c_75ohm.log,wsl:ngspice,True,False,False,False,False,96,75.0,0.5,0.005208333333333333,7.8125e-08,1.3888888888888888e-11,50000000.0,100000000.0,150000000.0,2.5,5.5,0.82,3.6841362687314106e-11,0.42,0.65,0.48,1,alternating_varactor_magnetic_cells,soft,extraction_plus_rejection,end,0.0,150.0,18.0,True,True,False,True,Varactor sweep: lower swing and higher reverse bias.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reject_due_to_convergence,,,,,,,,,,,,,,,,,,,,,,,
spice_hybrid_magnetic_412_refine,h015,h015_alternating_varactor_magnetic_cells_128c_100ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h015_alternating_varactor_magnetic_cells_128c_100ohm.cir,,failed_to_converge,returncode=1; log=h015_alternating_varactor_magnetic_cells_128c_100ohm.log,wsl:ngspice,True,False,False,False,False,128,100.0,0.72,0.005625,1.125e-07,1.125e-11,50000000.0,100000000.0,150000000.0,2.0,3.4,0.82,3.5986060846221144e-11,0.34,0.65,0.58,2,alternating_varactor_magnetic_cells,soft,extraction_plus_rejection,end,0.8,200.0,18.0,True,True,False,True,Stress reduction with stacked varactors and longer line.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reject_due_to_convergence,,,,,,,,,,,,,,,,,,,,,,,
spice_hybrid_magnetic_412_refine,h016,h016_alternating_varactor_magnetic_cells_64c_50ohm,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hybrid_varactor_plus_magnetic_line,discovery,h016_alternating_varactor_magnetic_cells_64c_50ohm.cir,h016_alternating_varactor_magnetic_cells_64c_50ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,False,64,50.0,0.5,0.0078125,7.62939453125e-08,3.0517578125e-11,50000000.0,100000000.0,150000000.0,2.5,3.4,0.82,7.230995379657989e-11,0.34,0.65,0.58,1,alternating_varactor_magnetic_cells,soft,extraction_plus_rejection,end,0.8,100.0,22.0,True,True,False,True,Phase velocity trim sweep: 64-cell low-Z line.,50874505.928853534,99326416.33728546,150200922.266139,410792.5375701157,214772.68436692044,16127.54474668551,1.169762704882438,0.04836794517019276,0.8306548462754023,0.9981608586799834,11.001906646973072,0.022403581977108337,0.08284376656140552,0.2240326164735628,1.4367396995721105,7.0,0.0,50.0,5120000.0,5.493164062500002e-12,208607567.00940907,2.5446520286362793,0.0005283122730531159,0.13946283910394525,0.8553479713637206,3.1344307881663055e-09,0.880502432054076,aggressive-but-testable,0.21,0.5696031501775999,reject_due_to_low_purity,18,4,0.55,0.1,0.0077479355057747355,12.906663965577337,0.25,0.25,0.0,1.35,3.4,64,1,0.024,0.004999999999999893,-0.010000000000000009,1.196505014550797,0.9610000000000001,0.02578075663597035,-15.88704340745043,1.0,1.0,baseline
