row_type,valid_spice_netlists_generated,run_requested,ngspice_available,execution_statuses,rows_total,discovery_rows,control_rows,ran_successfully_count,candidate_count,near_miss_count,best_case,best_name,best_cell_count,best_impedance_ohm,best_phase_lock_target,best_bridge_ratio,best_purity,best_target_growth,best_generated_cv,best_max_phase_jump,best_component_stress_score,best_component_stress_class,best_behavioral_dependency_score,best_bench_feasibility_score,best_bridge_case,best_bridge_ratio_case_value,controls_dead,max_control_leakage_score,behavioral_dependency_lower_than_tl_baseline,design_bench_buildable,recommended_next_step,case_id,name,role,netlist_file,csv_file,execution_status,convergence_failure_reason,ngspice_path,source_only_drive,direct_100mhz_drive_present,direct_150mhz_drive_present,target_frequency_injection_present,cell_count,total_length_m,cell_length_m,z0_target_ohm,source_frequency_hz,generated_frequency_hz,target_frequency_hz,source_amplitude_v,direct_generated_amplitude_v,bias_v,nonlinear_fraction,varactor_vj_v,varactor_m,varactor_rs_ohm,varactor_bv_v,varactor_ibv_a,fixed_cap_only,band_shunts,behavioral_helper_present,notes,source_fft_peak_hz,generated_fft_peak_hz,target_fft_peak_hz,source_fft_power,generated_fft_power,target_fft_power,target_band_coherent_growth,target_coherent_power,phase_lock_target,phase_lock_generated,bridge_ratio_vs_direct_reference,spectral_purity_150mhz,generated_envelope_cv,target_envelope_cv,max_phase_jump,near_slip_count,control_leakage_score,estimated_line_impedance_ohm,phase_velocity_m_s,per_cell_inductance_h,per_cell_total_capacitance_f,per_cell_fixed_capacitance_f,varactor_cjo_f,ladder_cutoff_hz,varactor_peak_voltage_v,varactor_peak_current_a,source_peak_current_a,reverse_bias_margin_v,dissipation_estimate_j,component_stress_score,component_stress_class,behavioral_dependency_score,bench_feasibility_score,promotion_category
aggregate,True,True,True,ran_successfully,22,15,6,22,0,0,d015,varactor_nltl_48cells_75ohm,48,75.0,0.8961718833832657,1.2879414175695514,0.00680203728635401,1.019061687866495,0.013622864075376538,2.422032089559072,0.37240550809233597,plausible,0.08,0.6699390733006245,d015,1.2879414175695514,True,0.09980137709284176,True,False,component selection/BOM plus stronger varactor sweep before PCB layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d001,varactor_nltl_12cells_25ohm,discovery,varactor_nltl_12cells_25ohm.cir,varactor_nltl_12cells_25ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,12,0.38197186342054884,0.03183098861837907,25.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50890830.833444454,99358288.77005821,128438763.53202647,7820.492020290178,0.15125213745739102,1.1764900476877063e-06,0.6634225218589108,5.13521030276108e-06,0.1798174885649563,0.6432455812915998,0.0009523038917253835,2.4918380694754413e-10,0.8090887090791599,0.3775646054206073,2.740909421929237,24.0,0.0,25.0,5000000.0,1.5915494309189532e-07,2.546479089470325e-10,4.583662361046587e-11,5.254968775023857e-10,50000000.00000001,1.2481649851641057,0.004483792100543152,0.19884790600916913,2.751835014835894,2.736567584581718e-09,0.3671073485776781,plausible,0.08,0.4173946057462449,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d002,varactor_nltl_12cells_50ohm,discovery,varactor_nltl_12cells_50ohm.cir,varactor_nltl_12cells_50ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,12,0.38197186342054884,0.03183098861837907,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50890830.833444454,99358288.77005821,150249119.60350266,20481.209360364817,1.1243312330222985,7.206342337471992e-06,0.9147916954326473,8.535457161938087e-06,0.22655687821753517,0.6983489029155107,0.001582865860157376,7.278981430254647e-10,0.6091745148041331,0.36456562844448137,2.7690114927437746,26.0,0.0,50.0,5000000.0,3.1830988618379064e-07,1.2732395447351626e-10,2.2918311805232937e-11,2.6274843875119284e-10,50000000.00000001,1.311266654228292,0.0022783214343047803,0.20897926320166949,2.688733345771708,6.439835224336518e-09,0.3856666630083212,plausible,0.08,0.44005694791800665,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d003,varactor_nltl_12cells_75ohm,discovery,varactor_nltl_12cells_75ohm.cir,varactor_nltl_12cells_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,12,0.38197186342054884,0.03183098861837907,75.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50884755.7795889,99346427.95062596,150231183.73021483,29729.23162907039,2.4099559484362043,2.0497979664052023e-05,1.0618943399952352,9.764982601270657e-06,0.2280377430259011,0.9158735330501825,0.0018108763586217162,1.1556609684031424e-09,0.6105237557516482,0.360362281177897,2.771133842040074,26.0,0.0,75.0,5000000.0,4.77464829275686e-07,8.488263631567751e-11,1.5278874536821962e-11,1.7516562583412854e-10,50000000.00000001,1.340218363674068,0.0015334675342361047,0.2125809185431403,2.659781636325932,7.459595663545489e-09,0.39418187166884355,plausible,0.08,0.45363185128369354,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d004,varactor_nltl_16cells_25ohm,discovery,varactor_nltl_16cells_25ohm.cir,varactor_nltl_16cells_25ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,16,0.38197186342054884,0.023873241463784303,25.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50872623.07892704,99322740.2969528,150195363.37587985,124906.20674046088,100.81364815723725,0.01326256857215739,0.8757942657177915,4.200638277351616e-05,0.072820015884054,0.9997189000228703,0.007789913057896961,9.185011896376998e-08,0.13591721589078942,0.291287456657282,2.5838074488315996,27.0,0.0,25.0,5000000.0,1.193662073189215e-07,1.9098593171027442e-10,3.43774677078494e-11,3.941226581267893e-10,66666666.66666667,1.188098371732903,0.0029343123961694272,0.41824610573931187,2.8119016282670968,1.562497276489265e-07,0.3494406975685009,plausible,0.08,0.46876512511794133,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d005,varactor_nltl_16cells_50ohm,discovery,varactor_nltl_16cells_50ohm.cir,varactor_nltl_16cells_50ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,16,0.38197186342054884,0.023873241463784303,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50890856.994007,99358339.84544224,150249196.83944923,165965.89363184784,158.78061317320302,0.02966732531863462,0.8525664063539261,5.419192543340363e-05,0.06727040324259305,0.9984355520017603,0.010049672447216839,1.5389681559064114e-07,0.17379762624117895,0.2958002980136546,2.592260605273097,27.0,0.0,50.0,5000000.0,2.38732414637843e-07,9.549296585513721e-11,1.71887338539247e-11,1.9706132906339466e-10,66666666.66666667,1.268834928642434,0.0014741921644584974,0.5942716777596764,2.731165071357566,2.149026712769897e-07,0.37318674371836297,plausible,0.08,0.463276209001911,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d006,varactor_nltl_16cells_75ohm,discovery,varactor_nltl_16cells_75ohm.cir,varactor_nltl_16cells_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,16,0.38197186342054884,0.023873241463784303,75.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50890856.994007,99358339.84544224,150249196.83944923,182099.6889290933,175.8199850564899,0.037767231516728776,0.839959985568955,5.9587156889582486e-05,0.0652859981003619,0.9969260082501004,0.011050196205652944,1.789882760449274e-07,0.19445658273079408,0.2980493976271122,2.5974975457392873,27.0,0.0,75.0,5000000.0,3.580986219567645e-07,6.366197723675814e-11,1.1459155902616468e-11,1.3137421937559645e-10,66666666.66666667,1.3109221022399413,0.0009843177785038377,0.6694641640657104,2.6890778977600585,2.3796022169129228e-07,0.38556532418821804,plausible,0.08,0.46036509329115227,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d007,varactor_nltl_24cells_25ohm,discovery,varactor_nltl_24cells_25ohm.cir,varactor_nltl_24cells_25ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,24,0.38197186342054884,0.015915494309189534,25.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50884825.374813,99346563.82701585,150231389.20182884,138744.09865351298,835.771879105426,1.9036650739696843,1.0464272143382884,2.183624917103447e-05,0.23957542307382046,0.9996223840387941,0.004049443711210905,1.1557816509237917e-05,0.013387204822720131,0.418567303061007,2.684819535821269,24.0,0.0,25.0,5000000.0,7.957747154594766e-08,1.2732395447351626e-10,2.2918311805232937e-11,2.6274843875119284e-10,100000000.00000001,1.0538973714040527,0.0018963824187109987,0.7001065975170745,2.9461026285959475,2.295683542065202e-07,0.30996981511883903,plausible,0.08,0.5466484797571268,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d008,varactor_nltl_24cells_50ohm,discovery,varactor_nltl_24cells_50ohm.cir,varactor_nltl_24cells_50ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,24,0.38197186342054884,0.015915494309189534,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50878773.441894054,99334748.14845982,150213521.59035388,158042.94603756798,1099.165105025719,2.9391862166464398,0.9977378300668326,2.8055090317833177e-05,0.21365786231146758,0.999420840404638,0.005202702541318431,1.5518486862565884e-05,0.032372582682149105,0.4302148809693402,2.6968156742391107,23.0,0.0,50.0,5000000.0,1.5915494309189532e-07,6.366197723675813e-11,1.1459155902616468e-11,1.3137421937559642e-10,100000000.00000001,1.0610620802452466,0.0009890680040790048,0.8468597354322427,2.9389379197547534,2.7101731048337e-07,0.31207708242507254,plausible,0.08,0.5414991664563698,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d009,varactor_nltl_24cells_75ohm,discovery,varactor_nltl_24cells_75ohm.cir,varactor_nltl_24cells_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,24,0.38197186342054884,0.015915494309189534,75.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50872727.27272854,99322943.7229462,150195670.99567473,165121.13556444427,1122.4332546297012,3.158280000532062,0.9653979711433421,3.2622717434910024e-05,0.20120289992921553,0.9992498620019173,0.0060497504367481286,1.5809536878396748e-05,0.05442601605002438,0.43294720455164076,2.7022727519056513,23.0,0.0,75.0,5000000.0,2.38732414637843e-07,4.2441318157838755e-11,7.639437268410981e-12,8.758281291706427e-11,100000000.00000001,1.0979419057934954,0.0006710096369859042,0.9031821150608892,2.9020580942065046,2.865220663218477e-07,0.32292408993926336,plausible,0.08,0.5368189565529643,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d010,varactor_nltl_32cells_25ohm,discovery,varactor_nltl_32cells_25ohm.cir,varactor_nltl_32cells_25ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,32,0.38197186342054884,0.011936620731892151,25.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50872779.14667001,99323045.00064145,150195824.14731145,183132.1650723299,7429.838828989356,84.14030963293935,1.1430286027320786,0.00013118996821411406,0.1883087586600528,0.9999807741441065,0.024328646719386903,0.0003759204808092879,0.009184930863182169,0.3227978614792921,2.877760211448039,26.0,0.0,25.0,5000000.0,5.968310365946075e-08,9.549296585513721e-11,1.71887338539247e-11,1.9706132906339466e-10,133333333.33333334,1.1001903283651377,0.001270368924871295,0.790665088908644,2.8998096716348623,2.9512998758522515e-07,0.32358539069562875,plausible,0.08,0.610103418474801,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d011,varactor_nltl_32cells_50ohm,discovery,varactor_nltl_32cells_50ohm.cir,varactor_nltl_32cells_50ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,32,0.38197186342054884,0.011936620731892151,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50884894.573102996,99346698.92843919,150231593.50154218,203868.73531055127,12067.17225946304,150.55425327151465,1.1707712153952077,0.000281606729748028,0.19927480281545606,0.999948421800747,0.05222282416182916,0.0005947764529017286,0.006171372190999975,0.35884421647194703,2.984727691134382,26.0,0.0,50.0,5000000.0,1.193662073189215e-07,4.7746482927568604e-11,8.59436692696235e-12,9.853066453169733e-11,133333333.33333334,1.2019227711836808,0.0006441620706561789,0.9078773076379137,2.798077228816319,3.3150603115830044e-07,0.35350669740696494,plausible,0.08,0.6089210005754163,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d012,varactor_nltl_32cells_75ohm,discovery,varactor_nltl_32cells_75ohm.cir,varactor_nltl_32cells_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,32,0.38197186342054884,0.011936620731892151,75.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50878859.85748253,99334916.86460875,150213776.7220913,211905.35076095708,14447.549918825958,184.36460365523502,1.1973812941384308,0.00035227189279091176,0.19297039611849465,0.9999239117687092,0.0653273916104036,0.0006963186584858452,0.005199366508204695,0.38086655759955856,3.007020809953733,26.0,0.0,75.0,5000000.0,1.7904931097838226e-07,3.183098861837907e-11,5.729577951308234e-12,6.568710968779822e-11,133333333.33333334,1.2430567446675862,0.0004319994773358773,0.9506954084373896,2.7569432553324136,3.445112298238165e-07,0.36560492490223123,plausible,0.08,0.6099841427812074,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d013,varactor_nltl_48cells_25ohm,discovery,varactor_nltl_48cells_25ohm.cir,varactor_nltl_48cells_25ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,48,0.38197186342054884,0.007957747154594767,25.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50891012.396694176,99358643.25068863,150249655.6473828,210621.49055325266,10519.544705692952,979.2119296396816,0.9359232974722108,0.003370925136414748,0.8317946636921645,0.9999553355992833,0.6251243740488418,0.0037614664325752896,0.0061754547948204095,0.406905566991226,1.7341460800303317,9.0,0.0,25.0,5000000.0,3.978873577297383e-08,6.366197723675813e-11,1.1459155902616468e-11,1.3137421937559642e-10,200000000.00000003,1.1592884859084083,0.0008331230028228899,1.0498903580625647,2.8407115140915917,2.5618008857821265e-07,0.3409672017377671,plausible,0.08,0.6653609228137385,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d014,varactor_nltl_48cells_50ohm,discovery,varactor_nltl_48cells_50ohm.cir,varactor_nltl_48cells_50ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,48,0.38197186342054884,0.007957747154594767,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50879031.2191328,99335251.42783071,150214282.6469635,229215.69648046177,12489.412372063647,1665.6169378241123,0.981440662596214,0.005762188106581227,0.8872032216636218,0.9998400562089234,1.068574378696935,0.005838948797945488,0.011609168165930784,0.31453562398968443,1.6874150956145042,10.0,0.0,50.0,5000000.0,7.957747154594766e-08,3.1830988618379065e-11,5.729577951308234e-12,6.568710968779821e-11,200000000.00000003,1.2367541377359008,0.0004165412363525821,1.181151261096423,2.763245862264099,2.716014370813914e-07,0.3637512169811473,plausible,0.08,0.6671864129818269,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d015,varactor_nltl_48cells_75ohm,discovery,varactor_nltl_48cells_75ohm.cir,varactor_nltl_48cells_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,48,0.38197186342054884,0.007957747154594767,75.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50891139.88973366,99358892.16567047,150250032.05540413,235792.19195850342,13393.098686381516,2005.7280254267034,1.019061687866495,0.006945104492719128,0.8961718833832657,0.9997714851226233,1.2879414175695514,0.00680203728635401,0.013622864075376538,0.4138225776843354,2.422032089559072,13.0,0.0,75.0,5000000.0,1.193662073189215e-07,2.1220659078919378e-11,3.8197186342054905e-12,4.3791406458532136e-11,200000000.00000003,1.2661787275139422,0.0002777472795797439,1.2284694202265056,2.7338212724860576,2.7635411121346135e-07,0.37240550809233597,plausible,0.08,0.6699390733006245,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c001,linear_fixed_capacitor_line,control,linear_fixed_capacitor_line.cir,linear_fixed_capacitor_line_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,48,0.38197186342054884,0.007957747154594767,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.0,0.75,0.5,0.85,18.0,1e-06,True,False,False,Linear/no-nonlinearity control using fixed shunt capacitors instead of varactors.,50873036.312128276,106591123.7016021,145351532.3203665,268722.36079925025,0.0770723958654285,0.16447839620897187,1.1807985603406657,8.14513358057532e-06,0.2888173662724263,0.7011553876415649,0.0015104819374650387,1.1333516713490192e-06,0.25690040048644863,0.30634115186247346,2.6663283861502443,27.0,0.09039928017033283,50.0,5000000.0,7.957747154594766e-08,3.1830988618379065e-11,0.0,0.0,200000000.00000003,1.1441258210289602,0.0004115217184370312,1.036064461872657,2.85587417897104,3.2922457679125536e-07,0.33650759442028244,plausible,0.02,0.7148790134474463,control_dead
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c002,weak_varactor_nonlinearity_line,control,weak_varactor_nonlinearity_line.cir,weak_varactor_nonlinearity_line_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,48,0.38197186342054884,0.007957747154594767,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,14.0,0.08,0.75,0.5,0.85,18.0,1e-06,False,False,False,Weak-nonlinearity control with small capacitance swing from high reverse bias.,50879073.756432585,99335334.47684458,145368782.16123596,268340.9241270286,16.668397030248784,0.15820760916148333,1.1996027541856835,8.254958741459752e-06,0.2877841760245237,0.9907721944216569,0.0015308485674477245,1.1942346147475916e-06,0.10648782530542023,0.3147922236932124,2.6891067805576796,26.0,0.09980137709284176,50.0,5000000.0,7.957747154594766e-08,3.1830988618379065e-11,2.928450952890874e-11,1.1292900268656519e-11,200000000.00000003,1.145817004593139,0.0004117074005208,1.045776502029667,12.85418299540686,3.290070614001265e-07,0.8414342780329522,aggressive-but-testable,0.08,0.624435884149367,control_dead
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c003,detuned_target_phase_velocity_line,control,detuned_target_phase_velocity_line.cir,detuned_target_phase_velocity_line_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,48,0.38197186342054884,0.007957747154594767,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Control with band-shunt values detuned away from 150 MHz phase matching.,50884929.02446494,99346766.19062203,150231695.21508697,147747.7124978418,19561.067487498367,357.95970758707267,1.1908362557112346,0.001253851615481388,0.47148161285288304,0.9995934884487531,0.2325216890196442,0.001834906159439446,0.003944640968130142,0.6213539083593669,2.829758484707278,18.0,0.09541812785561732,50.0,3800000.000000001,1.0470719940256271e-07,4.188287976102509e-11,7.538918356984517e-12,8.643040748394502e-11,152000000.0,1.2341037459184299,0.0004557703238939906,0.9293831732700157,2.76589625408157,1.6663520341103783e-07,0.3629716899760088,plausible,0.08,0.6409626361649049,control_dead
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c004,shuffled_frequency_line,control,shuffled_frequency_line.cir,shuffled_frequency_line_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,48,0.38197186342054884,0.007957747154594767,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Shuffled velocity/frequency mapping control.,50886414.25389286,99349665.92426701,150236080.17815986,207330.49907359318,7771.850903081456,1921.0481068230324,0.9800173485632626,0.006018005400246765,0.8647730865565293,0.9999835280550048,1.1160146566924363,0.0075440878169349525,0.003136574287777293,0.3955465464792858,1.3233951430377326,6.0,0.0,50.0,6200000.0,6.417538027899005e-08,2.5670152111596023e-11,4.620627380087284e-12,5.2973475554675985e-11,248000000.00000003,1.0957067418323647,0.00046194948955872523,1.2312764459081886,2.9042932581676353,2.3195734066469003e-07,0.32226668877422493,plausible,0.08,0.67283112285897,control_dead
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c005,too_short_line,control,too_short_line.cir,too_short_line_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,48,0.07639437268410977,0.0015915494309189536,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Too-short interaction-length control.,50874505.928853534,99326416.33728546,150200922.266139,263787.371405269,726.4765168159354,6.84106117530719,1.0428659512418286,5.73827673031319e-05,0.3266033649452086,0.9999999999536339,0.01064140111094629,2.2025837180425824e-05,2.089615528609022e-05,0.32290183400321604,2.8905623313230677,27.0,0.021432975620914285,49.99999999999999,5000000.0,1.5915494309189534e-08,6.366197723675814e-12,1.145915590261647e-12,1.3137421937559644e-11,1000000000.0,1.0210775684583966,0.0004127298121185195,0.9818356363913301,2.978922431541603,5.988277292041075e-08,0.3003169318995284,plausible,0.08,0.6809143080798228,control_dead
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c006,too_lossy_line,control,too_lossy_line.cir,too_lossy_line_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,48,0.38197186342054884,0.007957747154594767,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Too-lossy distributed line control.,50872985.17085571,99323447.23833732,150196432.40919304,158504.92547627116,7759.793054130358,744.0133270383911,0.9760523384254953,0.002481752681690082,0.8099152635186175,0.9999660612789544,0.4602309540862693,0.0038062111706196953,0.0034123454340057482,0.3738772122369101,1.8806413693126018,10.0,0.0,50.0,5000000.0,7.957747154594766e-08,3.1830988618379065e-11,5.729577951308234e-12,6.568710968779821e-11,200000000.00000003,1.080686265521325,0.0004157579858718387,0.8070337852158403,2.919313734478675,1.983754868925708e-07,0.3178489016239191,plausible,0.08,0.6724629786349533,control_dead
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direct_50plus100_reference,direct_50plus100_reference,ceiling_reference,direct_50plus100_reference.cir,direct_50plus100_reference_tran.csv,ran_successfully,,wsl:ngspice,False,True,False,False,48,0.38197186342054884,0.007957747154594767,50.0,50000000.0,100000000.0,150000000.0,2.0,1.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Separated direct 50+100 MHz ceiling reference; not a discovery row.,50880528.80692088,99338175.28970267,150218704.09662354,142230.84453033638,2671.7889034387563,1641.3581423097567,1.0317690802404478,0.005392407137449696,0.8537489760076943,0.9999784359729257,1.0,0.00955601883727864,0.04512672049462322,0.08622947583130416,1.4661933151402413,9.0,0.0,50.0,5000000.0,7.957747154594766e-08,3.1830988618379065e-11,5.729577951308234e-12,6.568710968779821e-11,200000000.00000003,0.9413760184269382,0.0005934211130818313,0.7380550265473738,3.058623981573062,2.2243284530366566e-07,0.27687529953733475,plausible,0.08,0.6843602709113252,ceiling_reference_not_discovery
